"GEO_ID","NAME","S1903_C01_001E","S1903_C01_001M","S1903_C02_001E","S1903_C02_001M","S1903_C01_002E","S1903_C01_002M","S1903_C02_002E","S1903_C02_002M","S1903_C01_003E","S1903_C01_003M","S1903_C02_003E","S1903_C02_003M","S1903_C01_004E","S1903_C01_004M","S1903_C02_004E","S1903_C02_004M","S1903_C01_005E","S1903_C01_005M","S1903_C02_005E","S1903_C02_005M","S1903_C01_006E","S1903_C01_006M","S1903_C02_006E","S1903_C02_006M","S1903_C01_007E","S1903_C01_007M","S1903_C02_007E","S1903_C02_007M","S1903_C01_008E","S1903_C01_008M","S1903_C02_008E","S1903_C02_008M","S1903_C01_009E","S1903_C01_009M","S1903_C02_009E","S1903_C02_009M","S1903_C01_010E","S1903_C01_010M","S1903_C02_010E","S1903_C02_010M","S1903_C01_012E","S1903_C01_012M","S1903_C02_012E","S1903_C02_012M","S1903_C01_013E","S1903_C01_013M","S1903_C02_013E","S1903_C02_013M","S1903_C01_014E","S1903_C01_014M","S1903_C02_014E","S1903_C02_014M","S1903_C01_015E","S1903_C01_015M","S1903_C02_015E","S1903_C02_015M","S1903_C01_016E","S1903_C01_016M","S1903_C02_016E","S1903_C02_016M","S1903_C01_017E","S1903_C01_017M","S1903_C02_017E","S1903_C02_017M","S1903_C01_018E","S1903_C01_018M","S1903_C02_018E","S1903_C02_018M","S1903_C01_019E","S1903_C01_019M","S1903_C02_019E","S1903_C02_019M","S1903_C01_020E","S1903_C01_020M","S1903_C02_020E","S1903_C02_020M","S1903_C01_021E","S1903_C01_021M","S1903_C02_021E","S1903_C02_021M","S1903_C01_022E","S1903_C01_022M","S1903_C02_022E","S1903_C02_022M","S1903_C01_023E","S1903_C01_023M","S1903_C02_023E","S1903_C02_023M","S1903_C01_024E","S1903_C01_024M","S1903_C02_024E","S1903_C02_024M","S1903_C01_025E","S1903_C01_025M","S1903_C02_025E","S1903_C02_025M","S1903_C01_026E","S1903_C01_026M","S1903_C02_026E","S1903_C02_026M","S1903_C01_027E","S1903_C01_027M","S1903_C02_027E","S1903_C02_027M","S1903_C01_028E","S1903_C01_028M","S1903_C02_028E","S1903_C02_028M","S1903_C01_029E","S1903_C01_029M","S1903_C02_029E","S1903_C02_029M","S1903_C01_030E","S1903_C01_030M","S1903_C02_030E","S1903_C02_030M","S1903_C01_031E","S1903_C01_031M","S1903_C02_031E","S1903_C02_031M",
"1400000US53063012901","Census Tract 129.01, Spokane County, Washington","1199","47","53027","3724","94.1","4.0","53235","2946","0.8","1.1","-","-222222222","0.0","2.9","-","-222222222","3.9","3.7","28456","31386","0.0","2.9","-","-222222222","0.0","2.9","-","-222222222","1.3","1.8","21875","102288","0.8","1.3","-","**","93.3","4.2","53125","3216","3.0","3.1","55455","59342","35.3","6.5","42625","18856","37.6","7.1","65694","14363","24.1","5.9","31830","22162","875","95","54067","3185","47.0","8.6","36825","16240","53.0","8.6","65469","18646","85.6","7.0","56743","5957","11.7","6.0","40385","23432","2.7","3.5","-","**","324","90","38750","19770","72.8","12.5","36000","21648","57.7","14.3","31063","13865","15.1","12.8","170799","142721","27.2","12.5","46000","38845","19.4","11.9","23839","29255","7.7","6.6","57232","32642","27.3","-888888888.0","(X)","-888888888","25.8","-888888888.0","(X)","(X)","28.1","-888888888.0","(X)","(X)",
"1400000US53063012902","Census Tract 129.02, Spokane County, Washington","2509","121","62438","4271","98.2","1.8","62589","4038","0.0","1.4","-","-222222222","0.0","1.4","-","-222222222","0.7","1.1","-","-222222222","0.0","1.4","-","-222222222","0.6","1.0","-","-222222222","0.4","0.7","2,500-","-333333333","0.6","1.0","-","**","98.2","1.8","62589","4038","4.4","2.2","32661","4012","31.4","5.6","67873","4896","37.8","4.9","71181","10773","26.4","4.1","34735","5340","1859","160","65982","4599","44.3","6.4","66227","4739","55.7","6.4","65156","8178","80.5","6.5","69750","3874","16.0","6.3","39118","16456","3.5","3.1","73583","67224","650","153","33112","4424","59.1","15.2","32083","4127","45.2","13.7","30714","7529","13.8","8.5","34688","60761","40.9","15.2","34242","25735","38.2","16.3","33561","28875","2.8","3.5","39545","82494","19.3","-888888888.0","(X)","-888888888","21.7","-888888888.0","(X)","(X)","12.6","-888888888.0","(X)","(X)",
"1400000US53063013000","Census Tract 130, Spokane County, Washington","2746","144","49853","11222","97.6","2.1","50313","11439","1.1","1.6","-","-222222222","0.3","0.4","-","-222222222","1.1","1.3","161250","158174","0.0","1.3","-","-222222222","0.0","1.3","-","-222222222","0.0","1.3","-","-222222222","2.1","1.8","72321","20799","95.4","2.8","48015","10147","7.5","3.9","21250","18324","40.0","4.9","65474","14691","31.9","3.9","77702","17310","20.6","4.1","25875","6674","1817","127","71290","10571","53.9","4.9","73472","22019","46.1","4.9","64956","10816","82.7","7.4","79167","12764","12.3","7.1","22679","22251","5.1","2.9","96591","109126","929","160","25388","7739","55.8","12.5","19048","3720","51.5","12.4","18017","4532","4.3","3.3","21029","77211","44.2","12.5","38906","11941","25.1","10.0","39010","12859","19.2","10.5","32432","45082","26.0","-888888888.0","(X)","-888888888","23.9","-888888888.0","(X)","(X)","30.1","-888888888.0","(X)","(X)",
"1400000US53063013100","Census Tract 131, Spokane County, Washington","3639","148","55763","3079","92.3","3.0","55772","3239","0.4","0.6","-","-222222222","1.2","1.1","23500","44601","2.1","1.3","45714","25459","0.0","1.0","-","-222222222","1.5","1.2","37125","62329","2.6","2.1","86927","84993","3.1","1.8","64107","85863","90.4","3.3","55671","3120","2.3","2.0","56860","18117","33.4","3.6","66633","6579","44.7","3.8","59314","9400","19.6","2.6","35370","8677","2529","152","67586","4724","44.4","4.6","69352","12569","55.6","4.6","65871","5564","86.6","4.1","70217","11029","9.0","3.5","42250","17306","4.4","2.3","59816","21834","1110","167","27329","5450","69.0","9.6","25000","5145","65.5","9.9","23646","4975","3.5","3.1","78250","67585","31.0","9.6","46410","25222","18.4","8.0","24643","9584","12.6","6.7","61250","16617","20.1","-888888888.0","(X)","-888888888","19.3","-888888888.0","(X)","(X)","21.0","-888888888.0","(X)","(X)",
"1400000US53063013201","Census Tract 132.01, Spokane County, Washington","2572","141","53688","3186","95.4","2.4","53688","3042","0.5","0.7","-","-222222222","0.0","1.3","-","-222222222","0.0","1.3","-","-222222222","0.0","1.3","-","-222222222","1.0","1.2","77167","11443","3.1","2.0","41897","28917","1.5","1.4","83523","34365","95.4","2.4","53688","3042","1.2","1.5","-","-222222222","31.2","4.7","50300","13390","50.7","5.3","65663","9114","16.9","3.0","34531","13240","1905","159","59797","6739","46.7","5.7","56118","6546","53.3","5.7","65714","8287","83.6","5.5","63396","6152","13.5","4.8","41172","14337","2.9","2.8","42414","36910","667","160","32269","8706","36.7","12.3","31518","17884","32.4","11.8","24000","16507","4.3","4.8","195234","279563","63.3","12.3","32742","9866","48.4","14.2","36484","17729","14.8","11.2","31250","16530","25.2","-888888888.0","(X)","-888888888","25.4","-888888888.0","(X)","(X)","24.7","-888888888.0","(X)","(X)",
"1400000US53063013202","Census Tract 132.02, Spokane County, Washington","3330","220","81979","7737","97.1","2.0","82422","7999","0.0","1.0","-","-222222222","1.5","1.8","71689","52412","1.1","0.8","112125","32132","0.0","1.0","-","-222222222","0.0","1.0","-","-222222222","0.3","0.5","-","-222222222","2.4","1.7","58269","37519","95.1","2.5","84167","8651","2.7","2.6","9918","33144","38.2","4.8","86986","6277","43.1","4.8","90886","10852","16.1","4.1","61970","10101","2522","207","92019","9211","53.3","5.2","92340","12606","46.7","5.2","87149","30373","87.5","4.6","102823","12836","7.3","3.5","43472","13811","5.1","3.5","73910","16881","808","186","31912","11668","64.0","13.0","31758","30358","57.2","12.9","31059","17446","6.8","5.8","62063","50574","36.0","13.0","35375","27229","33.0","13.3","22232","30572","3.0","3.4","55357","32577","14.6","-888888888.0","(X)","-888888888","12.6","-888888888.0","(X)","(X)","14.4","-888888888.0","(X)","(X)",
"1400000US53063013300","Census Tract 133, Spokane County, Washington","874","98","85076","13121","100.0","3.9","85076","13121","0.0","3.9","-","-222222222","0.0","3.9","-","-222222222","0.0","3.9","-","-222222222","0.0","3.9","-","-222222222","0.0","3.9","-","-222222222","0.0","3.9","-","-222222222","0.0","3.9","-","**","100.0","3.9","85076","13121","1.0","1.5","-","-222222222","22.4","6.4","107656","37870","62.0","8.3","90682","18792","14.5","6.0","44306","27860","729","108","92216","20349","43.1","8.3","109100","31817","56.9","8.3","84028","21509","97.5","2.6","98080","19532","2.5","2.6","38750","67513","0.0","4.7","-","**","145","72","44010","12492","39.3","20.8","29625","18103","31.7","18.2","28250","16402","7.6","11.6","-","-222222222","60.7","20.8","47500","15416","60.7","20.8","47500","15416","0.0","21.2","-","-222222222","27.7","-888888888.0","(X)","-888888888","29.2","-888888888.0","(X)","(X)","20.0","-888888888.0","(X)","(X)",
"1400000US53063013401","Census Tract 134.01, Spokane County, Washington","1712","59","101830","9613","97.7","2.2","100960","9020","0.0","2.0","-","-222222222","0.0","2.0","-","-222222222","1.9","2.1","164500","12950","0.0","2.0","-","-222222222","0.0","2.0","-","-222222222","0.4","0.7","-","-222222222","1.4","1.6","59265","18003","96.3","2.3","101496","8697","2.4","3.3","88651","656","26.2","3.9","107925","16128","55.5","4.6","125625","20637","15.8","1.8","71125","11380","1514","77","106453","8379","44.3","5.7","109593","18388","55.7","5.7","100781","12361","88.8","4.6","110139","8909","5.9","3.3","53542","6684","5.2","3.9","41838","75385","198","76","87895","37954","31.3","18.5","38250","23889","27.3","18.3","34688","27112","4.0","5.9","-","-222222222","68.7","18.5","89408","43267","13.6","12.3","109107","87717","55.1","21.4","89112","46821","14.5","-888888888.0","(X)","-888888888","16.2","-888888888.0","(X)","(X)","1.5","-888888888.0","(X)","(X)",
"1400000US53063013500","Census Tract 135, Spokane County, Washington","2664","138","76221","7469","98.7","1.3","76541","8283","0.0","1.3","-","-222222222","0.0","1.3","-","-222222222","0.6","0.9","56932","109079","0.0","1.3","-","-222222222","0.0","1.3","-","-222222222","0.6","1.0","-","-222222222","0.0","1.3","-","**","98.7","1.3","76541","8283","0.0","1.3","-","-222222222","31.0","3.9","94115","12726","46.3","3.9","85452","16011","22.7","3.7","49904","12325","2219","144","85335","10806","42.6","4.3","96550","15027","57.4","4.3","71091","6772","88.5","5.3","88042","8100","9.6","5.1","65122","22323","1.9","1.7","118571","141762","445","132","51352","11837","57.8","13.1","50042","29725","52.4","13.5","37946","20831","5.4","6.2","54500","372452","42.2","13.1","63472","39481","24.7","13.0","63750","73022","17.5","12.5","63472","128160","15.4","-888888888.0","(X)","-888888888","17.2","-888888888.0","(X)","(X)","6.5","-888888888.0","(X)","(X)",
"1400000US53063013600","Census Tract 136, Spokane County, Washington","1401","114","53638","3939","91.4","4.3","55099","7170","2.9","2.7","38438","13565","4.4","3.3","42540","30408","0.6","1.0","-","-222222222","0.0","2.5","-","-222222222","0.0","2.5","-","-222222222","0.7","1.2","-","-222222222","1.1","1.4","2,500-","***","90.9","4.3","54944","6830","7.2","3.9","28750","3550","29.1","5.4","49830","21931","48.8","6.2","54087","3266","15.0","2.7","64643","14227","794","112","70784","7569","43.1","9.9","67667","32221","56.9","9.9","71829","8043","82.6","9.2","79615","15067","8.9","6.3","43750","9762","8.4","7.1","29208","22506","607","115","35885","9853","49.1","10.4","37656","6645","30.8","10.7","30650","13297","18.3","8.6","53295","22536","50.9","10.4","30197","14799","42.0","10.1","27235","21029","8.9","6.2","31389","64691","15.8","-888888888.0","(X)","-888888888","15.2","-888888888.0","(X)","(X)","11.7","-888888888.0","(X)","(X)",
